Input	Target	Prediction
Should the system continue to allocate inventory until a location is empty?	¿Debe el sistema continuar asignando inventario hasta que una ubicación esté vacía?	¿Debe el sistema continuar asignando inventario hasta que una ubicación esté vacía?
Password Expiration	Caducidad de Contraseña	Caducidad de Contraseña
Work-in-Process Area	Área de Trabajo en Proceso	Área de Trabajo en Proceso
CATCH QUANTITY	CANTIDAD VARIABLE	CANTIDAD VARIABLE
Area Code	Código de Área	Código de Área
Search Help	Ayuda de búsqueda	Ayuda de búsqueda
Do you want to automatically allocate shipments that have been built into a wave?	¿Desea asignar automáticamente los envíos que han sido integrados en una ola?	¿Desea asignar automáticamente los envíos que han sido integrados en una ola?
Add a new warehouse or edit the warehouse you are currently logged in to.	Agregar un nuevo almacén o editar el almacén en el que estás actualmente registrado.	Agregar un nuevo almacén o editar el almacén en el que estás actualmente registrado.
Do you require transport equipment to have an assigned tractor before it can be checked out?	¿Se requiere que el equipo de transporte tenga asignado un tractor antes de que pueda realizar su Check Out?	¿Se requiere que el equipo de transporte tenga asignado un tractor antes de poder salir?
Add Item to Replenish	Agregar Artículo a Reabastecer	Agregar Artículo a Reabastecer
Do you want to enable the integration of Warehouse Labor Management?	¿Desea activar la integración de Warehouse Labor Management?	¿Desea activar la integración de Warehouse Labor Management?
Add New Wave Rule	Añadir Nueva Regla de Ola	Añadir Nueva Regla de Ola
How many units are on a case?	¿Cuántas unidades hay en una caja?	¿Cuántas unidades hay en una caja?
End of Day Start Time Based	Basado en la Hora de Inicio del Final del Día	Basado en la Hora de Inicio del Final del Día
Advanced Allocation	Asignación Avanzada	Asignación Avanzada
Cancel Pick	Cancelar Surtido	Cancelar Surtido
What is the maximum number of iterations that should occur during complex cartonization?	¿Cuál es el número máximo de iteraciones que deben ocurrir durante la cartonización compleja?	¿Cuál es la cantidad máxima de iteraciones que debería ocurrir durante una cartonización compleja?
Consolidation Settings	Configuraciones de Consolidación	Configuraciones de Consolidación
What type of handling units should be used for inventory received from this supplier?	¿Qué tipo de unidades de manejo se deberían usar para el inventario recibido de este proveedor?	¿Qué tipo de unidades de manejo se deberían usar para el inventario recibido de este proveedor?
Shipped Quantity	Cantidad de Envíos	Cantidad de Envíos
{0} is not empty	{0} no está vacío(a)	{0} no está vacío(a)
Configuration/Hardware Settings	Configuración/Configuración de Hardware	Configuración/Configuración de Hardware
Layers Per Hour	Capas por Hora	Capas por Hora
Check Out	Check Out	Check Out
Assign Zones	Asignar Zonas	Asignar Zonas
Configuration/Hold Types	Configuración/Tipos de Retención	Configuración/Tipos de Retención
Available Loads	Cargas Disponibles	Cargas Disponibles
Should this level only use inventory with the same level units to ensure consistent layout in the level?	¿Debe este nivel usar únicamente inventario con las mismas unidades de nivel para garantizar un diseño coherente en el nivel?	¿Debe este nivel usar solo inventario con las mismas unidades de nivel para garantizar un diseño coherente en el nivel?
Table Comment	Comentario de Tabla	Comentario de Tabla
Allocate Shipments in Wave	Asignar Envíos en Ola	Asignar Envíos en Ola
Configuration/Workflows/Inbound	Configuración/Flujos de Trabajo/Entrante	Configuración/Flujos de Trabajo/Entrante
Force Operator to scan expiration and manufactured dates when receiving ASN LPNs?	¿Obligar al operador a escanear las fechas de vencimiento y de fabricación al recibir los LPNs del ASN?	¿Obligar al operador a escanear las fechas de vencimiento y de fabricación al recibir los LPNs del ASN?
Close and Dispatch Equipment	Cerrar y Despachar Equipo	Cerrar y Despachar Equipo
Capture Warehouse Equipment	Capturar Equipo de Almacén	Capturar Equipo de Almacén
Inventory Attribute Text 5	Texto de atributo de inventario 5	Texto de atributo de inventario 5
Upload To Cloud	Subir a la Nube	Subir a la Nube
To Footprint	A Huella	A Huella
Are you sure you want to cut off the selected handling units?	¿Estás seguro que quiere limitar las unidades de manejo seleccionadas?	¿Está seguro de que quiere limitar las unidades de manejo seleccionadas?
To Location	A Ubicación	A Ubicación
Order Line Mass Update	Actualización Masiva de Líneas de Orden	Actualización Masiva de Líneas de Orden
Work List Rule Lookup	Búsqueda de Regla de Lista de Trabajo	Búsqueda de Regla de Lista de Trabajo
Load Attribute Three	Atributo de Carga Tres	Atributo de Carga Tres
"<b>Process Distribution Complete Transfer</b> - This command is used to release the work from locked status to pending when the moved pallet is ready for load. This command is intended for Distribution inventory. <br><br><b>Process Work Status Change By Capacity</b> - This command is used to change the the work status from ""LOCK"" to ""PEND"" when the inventory for the pick work can be delivered to the destination location. This command is applicable only for the Demand and Emergency replenishment picks, other picks/works are not considered and will remain status unchanged when this command has been executed. <br><br> <b>Process Work Status Change For Resume List Pick</b> - This command is used to change the the work status from ""WRPL"" to ""PEND"" when the first pick in the queue get enough inventory after perform replenishment pick work for a work assignment. <br><br><b>Process Work Status Change for Storage Equipment</b> - This command will unlock the picks for storage equipments that are checked in at a dock door. It would change the work status from ""LOCK"" to ""PEND""."	"<b>Procesar Transferencia Completa de Distribución</b> - Este comando se usa para cambiar el estado de un trabajo de bloqueado a pendiente, cuando un pallet está listo para cargar. Este comando tiene la finalidad de distribuir inventario. <br><br><b>Procesar Cambio de Estado de Trabajo por Capacidad</b> - Este comando se usa para cambiar el estado de un trabajo de ""BLOQUEAR"" a ""PEND"" cuando el inventario para el trabajo de surtido se puede enviar a la ubicación destino. Este comando es aplicable sólo para los surtidos de reabasto de Demanda y Emergencia; no se toman en consideración otros surtidos/trabajos y su estado no cambia cuando se ejecuta este comando. <br><br> <b>Procesar Cambio de Estado de Trabajo para Reanudar Listas de Surtido a</b> - Este comando se usa para cambiar el estado de un trabajo de ""WRPL"" a ""PEND"" cuando el primer surtido en la cola recibe suficiente inventario después de realizar un trabajo de surtido de reabasto para una lista de surtido. <br><br><b>Procesar Cambio de Estado de Trabajo para Equipos de Almacenaje</b> - Este comando desbloquea los surtidos para los equipos de almacenamiento con check in en la puerta de andén. Cambia el estado de trabajo de ""BLOQUEAR"" a ""PEND""."	"<b>Procesar Distribución Completa Transferencia</b> - Este comando se usa para liberar el trabajo desde estado bloqueado a pendiente cuando el pallet movido está listo para ser cargado. Este comando está destinado para el inventario de distribución. <br><br><b>Cambiar el estado de trabajo por Capacidad</br> - Se usa este comando para cambiar el estado del trabajo de ""LOCK"" a ""PEND"" cuando el inventario para el trabajo de surtido se puede entregar a la ubicación de destino. Este Comando es sólo aplicable para los surtidos de Reabasto de Demanda y Emergencia, otros surtidos/trabajos no se consideran y permanecerán en estado sin cambios cuando este comando haya sido ejecutado. br> < b>Cranificar el Estado de Trabajo de Proceso para el surtido de Lista de Reanudación Surtido</ b> - Esta comando se utiliza para cambiar la condición de trabajo de <WRPL"" a <PEND> cuando el primer surtido en la cola obtiene suficiente inventario después de realizar el trabajo del surtido de reabasto para una lista de surtido. > ><br>Cerrar el estado </p><b><bb>Cambio el estado para el estado el trabajo para el equipo de almacenamiento de trabajo <(b>- Este comando desbloqueará los surtido para los equipos de almacenamiento que se registran en una puerta. Cambiaría el estado ""LOCAB"" a 'PEND""."
Can the RF operator create a new footprint during receiving?	¿Puede el operador RF crear una nueva huella durante el recibo?	¿Puede el operador RF crear una nueva huella durante el recibo?
Language Code	Código de Idioma	Código del Idioma
Are you sure you want to delete the entire note?	¿Está seguro de que desea eliminar la nota completa?	¿Está seguro de que desea eliminar la nota completa?
SAMPLING RATE CONFIGURATION	CONFIGURACIÓN DE LA TASA DE MUESTREO	CONFIGURACIÓN DE LA TASA DE MUESTREO
Add New Payment Terms	Agregar Nuevos Términos de Pago	Agregar Nuevos Términos de Pago
Bldg Id	ID Edif	ID Edif
On Hand Quantity	Cantidad Disponible	Cantidad Disponible
Should the system suggest a carton LPN to the user to deposit into during distribution deposit?	¿Debe el sistema sugerir un LPN de cartón al usuario para depositar durante el depósito de distribución?	¿Debe el sistema sugerir un LPN de cartón al usuario para depositar durante el depósito de distribución?
Should the operator be allowed to pick in the next work zone when performing cartonized picks?	¿Se debe permitir al operador realizar el surtido en la siguiente zona de trabajo cuando realiza surtidos cartonizados?	¿Se debe permitir que el operador surta en la siguiente zona de trabajo al realizar surtidos cartonizados?
Date Separation Character	Carácter de Separación de Fecha	Carácter de Separación de Fecha
Cycle Count Action	Acción de Conteo Cíclico	Acción de Conteo Cíclico
Add Empty Unexpected Handling Units	Agregar Unidades de Manejo Vacías Inesperadas	Agregar Unidades de Manejo Vacías Inesperadas
Loading Serial Numbers	Cargando Números de Serie	Cargando Números de Serie
Each package	Cada paquete	Cada paquete
Top Clients	Clientes Principales	Principales Clientes
Inbound Load	Carga Entrante	Carga Entrante
LMS Current Work Order Line Assignment Quantity	Cantidad de Asignación de Línea de Orden de Trabajo Actual LMS	Cantidad de Asignación de Línea de Orden de Trabajo Actual LMS
ABC Code	Código ABC	Código ABC
Replenishment Settings	Configuración de Reabasto	Configuración de Reabasto
Allocate Only Assigned Lanes	Asignar Solo Líneas Asignadas	Asignar Solo Líneas Asignadas
Should an operator be able to scan an item to find a production line and work order from which to start receiving?	¿Debe el operador poder escanear un artículo para encontrar una línea de producción y una orden de trabajo desde la cual comenzar a recibir?	¿Debe el operador poder escanear un artículo para encontrar una línea de producción y una orden de trabajo desde la cual comenzar a recibir?
Field 2	Campo 2	Campo 2
Can bulk picks be allocated in this UOM?	¿Se pueden asignar surtidos masivos en esta UM?	¿Se pueden asignar surtidos masivos en esta UM?
Configuration/Inventory Statuses	Configuración/Estado de Inventario	Configuración/Estado de Inventario
Error Command for Storage	Error en el Comando de Almacenamiento.	Comando de Error para Almacenamiento
Est. Cube	Capacidad est.	Capacidad est.
Pick Quantity	Cantidad de Surtido	Cantidad de Recogida
Add {0}	Agregar {0}	Agregar {0}
If a RF connection to the server is interrupted, should the current RF session be restored without the operator having to log back in?	¿Si se interrumpe una conexión RF al servidor, se debería restablecer la sesión RF actual sin que el operador tenga que reiniciar la sesión?	¿Si se interrumpe una conexión RF al servidor, se debería restablecer la sesión RF actual sin que el operador tenga que reiniciar la sesión?
Allocate To Empty Sequence	Asignar a Secuencia Vacía	Asignar a Secuencia Vacía
On-Hand Qty	Cantidad Disponible	Cantidad Disponible
Attribute 17	Atributo 17	Atributo 17
Source Quantity	Cantidad de Origen	Cantidad de Origen
Inbound Pallet Build	Armado de Pallet Entrante	Armado de Pallet Entrante
Closing Receiving Equipment	Cerrando Equipo de Recibo	Cerrando Equipo de Recepción
Add more images	Agregar más imágenes	Agregar más imágenes
Married Code	Código de Vínculo	Código de Vínculo
Do you require only the valid inventory with the best date for the inventory rotation method be allocated?	¿Se requiere que solo se asigne el inventario válido con la mejor fecha para el método de rotación de inventario?	¿Se requiere que solo se asigne el inventario válido con la mejor fecha para el método de rotación de inventario?
Add client override of when receipt information is sent to the host.	Agregar sobreescribir de cliente de cuando la información del recibo se envía al host.	Agregar sobreescribir de cliente de cuando la información del recibo se envía al host.
Derive from carrier default destination?	¿Derivar desde el destino predeterminado del transportista?	¿Derivar desde el destino predeterminado del transportista?
Configure the grid	Configurar la cuadrícula	Configurar la cuadrícula
Inventory Attribute Text 9	Texto de Atributo de Inventario 9	Atributo de Inventario - Texto 9
Add Movement Transaction	Agregar Transacción de Movimiento	Agregar Transacción de Movimiento
Configuration/Receiving/Close Inbound Shipment	Configuración/Recepción/Cerrar envío entrante	Configuración/Recepción/Cerrar envío entrante
At least one work order type should be defined for BOM in Processing Grid	Al menos se debe definir un tipo de orden de trabajo para la lista de materiales en la cuadrícula de procesamiento	Al menos se debe definir un tipo de orden de trabajo para la lista de materiales en la cuadrícula de procesamiento
Distro Flag	Bandera de Distribución	Bandera de Distribución
Batch Status	Estado de Lote	Estado del Lote
Average Catch Quantity	Cantidad Variable Promedio	Cantidad Variable Promedio
Directed Work Operation Code	Código de Operación de Trabajo Dirigido	Código de Operación de Trabajo Dirigido
Should all level managed locations in same position in a bay only use inventory with the same level units to ensure consistent layout vertically?	¿Deben todas las ubicaciones gestionadas del nivel en la misma posición de una bahía usar únicamente inventario con las mismas unidades de nivel para garantizar un diseño coherente verticalmente?	¿Deben todas las ubicaciones gestionadas del nivel en la misma posición de una bahía usar únicamente inventario con las mismas unidades de nivel para garantizar un diseño coherente verticalmente?
Do you allow inventory with an item lot status of Restricted to be allocated for work orders?	¿Permite que el inventario con un estado de lote de artículo Restringido sea asignado para órdenes de trabajo?	¿Permite que el inventario con un estado de lote de artículo Restringido sea asignado para órdenes de trabajo?
Apply changes to the page before leaving?	¿Aplicar cambios a la página antes de salir?	¿Aplicar cambios a la página antes de salir?
Add New Override Reason	Agregar Nueva Razón de Sobreescribir	Agregar Nueva Razón de Sobreescribir
Self Uri	Auto Uri	Auto Uri
When you would like to rate packages for multi-package shipments?	¿Cuándo le gustaría calificar los paquetes para envíos de múltiples paquetes?	¿Cuándo le gustaría calificar los paquetes para envíos de múltiples paquetes?
Self Uri	Auto Uri	Auto Uri
Apply Hold	Aplicar Retención	Aplicar Retención
Inventory Attribute Text 7	Texto de atributo de inventario 7	Atributo de Inventario - Texto 7
Pallet Type Carton	Cartón Tipo Pallet	Cartón Tipo Pallet
Add an Alternate Item	Agregar un Artículo Alternativo	Agregar un Artículo Alternativo
Block Start	Inicio de Bloque	Inicio de Bloque
Remainder Display Pick Quantity UOM	Mostrar UM del Remanente de Cantidad de Surtido	Mostrar UM del Remanente de Cantidad de Surtido
Existing Areas	Áreas Existentes	Áreas Existentes
How date controlled inventory is allocated in locations containing mixed dates or inventory statuses	Cómo se asigna el inventario controlado por fecha en ubicaciones que contienen fechas o estatus de inventario mixtos	Cómo se asigna el inventario controlado por fecha en ubicaciones que contienen fechas o estatus de inventario mixtos
Failed Items	Artículos con Error	Artículos con Error
Mass Update	Actualización Masiva	Actualización Masiva
Quantity Default	Cantidad Predeterminada	Cantidad Predeterminada
Does this customer allow cases to be split?	¿Este comprador permite que se dividan las cajas?	¿Este comprador permite que se dividan las cajas?
External Communication TAT	Comunicación Externa TAT	Comunicación Externa TAT
Reported Quantity	Cantidad Reportada	Cantidad Reportada
Grid Lookup Columns	Columnas de Búsqueda de Cuadrícula	Columnas de Búsqueda de Cuadrícula
Configure actions to be executed based on the overall results of all instructions.	Configurar acciones a ejecutar basadas en los resultados generales de todas las instrucciones.	Configurar acciones a ejecutar basadas en los resultados generales de todas las instrucciones.
Configuration/Shipping LPN Mixing Restrictions	Configuración/Restricciones de Combinación de LPN de Envío	Configuración/Restricciones de Combinación de LPN de Envío
Add New Count Zone Settings	Agregar Nueva Configuración de Zona de Conteo	Agregar Nueva Configuración de Zona de Conteo
Clear Thresholds	Borrar Umbrales	Borrar Umbrales
Commodity Code	Código de Mercancía	Código de Mercancía
Change Site	Cambiar Sitio	Cambiar Sitio
Assign Warehouse	Asignar Almacén	Asignar Almacén
<b>Distribution routes</b> are fixed schedules that define when shipments are routinely pick up from the warehouse for delivery.	<b>Rutas de distribución</b> son programaciones fijas que definen cuándo se surten rutinariamente los envíos desde el almacén para su envío.	<b>Rutas de distribución</b> son programaciones fijas que definen cuándo se surten rutinariamente los envíos desde el almacén para su envío.
{0} Shipments	{0} Envíos	{0} Envíos
Configuration/Storage/Building Sequence	Configuración/Almacenamiento/Secuencia de Edificios	Configuración/Almacenamiento/Secuencia de Edificios
Sort Sequence	Secuencia de Ordenamiento	Secuencia de Ordenamiento
Committed Quantity	Cantidad Consignada	Cantidad Consignada
Should the system allow receiving operators to update the supplier lot information during receiving for this client?	¿Debería el sistema permitir que los operadores de recibo actualicen la información de lote del proveedor durante el recibo para este cliente?	¿Debe el sistema permitir que los operadores de recibo actualicen la información de lote del proveedor durante el recibo para este cliente?
work category	categoría de trabajo	categoría de trabajo
Item Attributes	Atributos de Artículo	Atributos de Artículo
Add Zone	Agregar Zona	Agregar Zona
Inventory Attribute String5	Atributo de Inventario de Cadena 5	Atributo de Inventario de Cadena 5
BTO Commodity Code	Código de Mercancía BTO	Código de Mercancía BTO
Shipment Mass Update	Actualización Masiva de Envío	Actualización Masiva de Envíos
Grouping Picks	Agrupación de Surtidos	Agrupación de Surtidos
Configure Chart	Configurar Gráfico	Configurar Gráfico
Top Items Out of Position	Artículos Principales Fuera de Posición	Artículos Principales Fuera de Posición
Add New Master Workflow	Agregar Nuevo Flujo de Trabajo Maestro	Agregar Nuevo Flujo de Trabajo Maestro
Add a location or range of locations.	Agregar una ubicación o un rango de ubicaciones.	Agregar una ubicación o un rango de ubicaciones.
Description Column	Descripción de Columna	Columna de Descripción
Should the system automatically populate the receiving fields with the item attribute values from the inbound order line?	¿Debe el sistema completar automáticamente los campos de recepción con los valores de los atributos del artículo de la línea de la orden entrante?	¿Debe el sistema completar automáticamente los campos de recibo con los valores de atributo del artículo desde la línea de orden entrante?
Access Codes	Códigos de Acceso	Códigos de Acceso
Change Carrier Level	Cambiar Nivel del Transportista	Cambiar Nivel de Transportista
Lookup Component	Componente de Búsqueda	Componente de Búsqueda
Reserve Quantity	Cantidad Reservada	Cantidad de Reserva
Cleared,	Borrado,	Borrado,
Heap Snapshots	Captura Heap	Instantánea de Captura
Add Hold	Agregar Retención	Agregar Retención
Remainder Quantity	Cantidad Remanente	Remanente de Cantidad
Do you want to skip the shipping container {0} ?	¿Desea omitir el contenedor de envío {0} ?	¿Desea omitir el contenedor de envío {0} ?
Count Near Zero Amount	Cantidad de Conteo Cercano a Cero	Cantidad de Conteo Cercano a Cero
Apply to Inbound	Aplicar a Entrada	Aplicar a Entrante
Max.Weight	Peso Máx.	Peso Máx.
When ASN receiving from a trusted supplier, is the user allowed to scan an inbound shipment to receive all the LPNs at once instead of scanning each LPN separately?	Cuando se está recibiendo ASN proviene de un proveedor de confianza, ¿se permite que el usuario escanee un envío entrante para recibir todos los LPN de una vez en lugar de escanear cada LPN por separado?	¿Cuando se está recibiendo ASN proviene de un proveedor de confianza, se permite que el usuario escanee un envío entrante para recibir todos los LPN de una vez en lugar de escanear cada LPN por separado?
Is the RF operator allowed to choose a deposit location when overriding a system-directed deposit location?	¿Se le permite al operador RF elegir una ubicación de depósito al sobreescribir una ubicación dirigida por el sistema?	¿Se le permite al operador RF elegir una ubicación de depósito al sobreescribir una ubicación dirigida por el sistema?
Post-Allocation Action	Acción de Post-asignación	Acción de Post-asignación
Apply to Inbound Inventory	Aplicar a Inventario de Entrada	Aplicar a Inventario Entrante
Cancel Cycle Count	Cancelar Conteo Cíclico	Cancelar Conteo Cíclico
Configuration/Work/Activities	Configuración/Trabajo/Actividades	Configuración/Trabajo/Actividades
Unapplied Changes	Cambios sin Aplicar	Cambios sin Aplicar
Active Assignments	Asignaciones Activas	Asignaciones Activas
Set up the actions requested by the customer when they returned the product.	Configurar las acciones solicitadas por el comprador al devolver el producto.	Configurar las acciones solicitadas por el comprador al devolver el producto.
Started Loading	Carga Iniciada	Carga Iniciada
Are you sure you want to delete [{0}] query parameter(s)?	¿Está seguro de que desea eliminar [{0}] parámetro(s) de consulta?	¿Está seguro de que desea eliminar [{0}] parámetro(s) de consulta?
Existing Areas	Áreas Existentes	Áreas Existentes
Packing Code	Código de Empaque	Código de Empaque
Configuration/Voice Distribution	Configuración/Distribución por Voz	Configuración/Distribución por Voz
Detail Configuration	Configuración de Detalle	Configuración de Detalle
Active Assignment Code	Código de Asignación Activa	Código de Asignación Activa
Configure the alignment and relative size of each grid.	Configurar la alineación y el tamaño relativo de cada cuadrícula.	Configurar la alineación y el tamaño relativo de cada cuadrícula.
Dock Lane Assignment	Asignación de Carril de Andén	Asignación de Carril de Andén
Should carton LPNs in the location be picked up automatically when they are closed?	¿Deben los LPNs de cartón en la ubicación ser recogido automáticamente cuando se cierren?	¿Deben los LPNs de cartón en la ubicación ser recogidos automáticamente cuando se cierren?
Change Time Zone	Cambiar Zona Horaria	Cambiar Zona Horaria
Add Record	Agregar Registro	Agregar Registro
Update the line quantity of the components to reflect the work order quantity?	¿Actualizar la cantidad de línea de los componentes para reflejar la cantidad de la orden de trabajo?	¿Desea actualizar la cantidad de línea de los componentes para reflejar la cantidad solicitada de trabajo?
Apply to Mixed LPN	Aplicar a LPN Mixto	Aplicar a LPN Mixto
Adjustment - Select Jobcodes	Ajuste - Seleccionar Códigos de Trabajo	Ajuste - Seleccionar Códigos de Trabajo
Grouping Character	Carácter de Agrupación	Carácter de Agrupación
Cancel Shipment	Cancelar Envío	Cancelar Envío
Rename Filter	Renombrar Filtro	Renombrar Filtro
Yard Area	Área de Patio	Área de Patio
Update Attributes	Actualizar Atributos	Actualizar Atributos
User Activity	Actividad de Usuario	Actividad de Usuario
Should this location be reserved for future use?	¿Debería reservarse esta ubicación para uso futuro?	¿Debería reservarse esta ubicación para uso futuro?
Stored Quantity	Cantidad Almacenada	Cantidad Almacenada
Attribute 3	Atributo 3	Atributo 3
Check in without appointment	Check in sin cita	Check in sin cita
To Item Velocity	A Velocidad del Artículo	A Velocidad del Artículo
Each barcode template is associated with one or more suppliers used to define the format that WM uses to extract data from a supplier's barcode. During warehouse processes, when the barcode is scanned, information like item, lot, and manufactured date can be extracted from the barcode and displayed to the user.	Cada plantilla de código de barras está asociada con uno o más proveedores usados para definir el formato que WM usa para extraer datos del código de barras de un proveedor. Durante los procesos del almacén, cuando se escanea el código de barras, se pueden extraer información como el artículo, el lote y la fecha de fabricación del código de barras y mostrarse al usuario.	Cada plantilla de código de barras está asociada con uno o más proveedores usados para definir el formato que WM usa para extraer datos del código de barra de un proveedor. Durante los procesos del almacén, cuando se escanea el código de Barras, se pueden extraer información como el artículo, el lote y la fecha de fabricación del código y mostrarse al usuario.
Minimum Quantity	Cantidad Mínima	Cantidad Mínima
Allocate By Catch Quantity	Asignar por Cantidad Variable	Asignar por Cantidad Variable
Work Order Client	Cliente de Orden de Trabajo	Cliente de Orden de Trabajo
TERMINAL SETUP	CONFIGURACIÓN DE TERMINAL	CONFIGURACIÓN DE TERMINAL
Should the system search for a different destination for a demand replenishment when the first location cannot be used?	¿Debe el sistema buscar otro destino para un reabasto de demanda cuando la primera ubicación no se pueda usar?	¿Debe el sistema buscar otro destino para un reabasto de demanda cuando la primera ubicación no se pueda usar?
Drag each action into the order you prefer. Click action name to configure additional options.	Arrastrar cada acción en el orden preferido. Hacer clic en el nombre de la acción para configurar opciones adicionales.	Arrastrar cada acción en el orden preferido. Hacer clic en el nombre de la acción para configurar opciones adicionales.
TERMINAL SETUP	CONFIGURACIÓN DE TERMINAL	CONFIGURACIÓN DE TERMINAL
Reference Field 4	Campo de Referencia 4	Campo de Referencia 4
Resize Carton	Redimensionar Caja	Redimensionar Caja
Avg. Catch Capture Enabled	Promedio Variable Habilitado	Promedio Variable Habilitado
Entered Quantity	Cantidad Ingresada	Cantidad Ingresada
Add Item Lot	Agregar Lote de Artículo	Agregar Lote de Artículo
Item Color	Color del Artículo	Color del Ítem
Receive Key	Recibir Clave	Recibir Clave
Configuration/Outbound Order Processing Settings	Configuración/Configuración de Procesamiento de Orden Saliente	Configuración/Config de Procesamiento de Orden Saliente
Capture Fields During Packing	Capturar Campos Durante el Empaque	Capturar Campos Durante el Empaque
Should this location support count back?	¿Debería esta ubicación admitir el conteo retroactivo?	¿Debería esta ubicación admitir el conteo retroactivo?
Updating...	Actualizando...	Actualizando...
RF Outbound Audit	Auditoría Saliente por RF	Auditoría Saliente por RF
Buffer Time Calculate By	Cálculo del Tiempo de Búfer Por	Cálculo del Tiempo de Búfer Por
Address City	Ciudad de la Dirección	Ciudad de Dirección
Item Configuration	Configuración de Artículo	Configuración de Artículo
Should the system generate a replenishment request when a shipment line cannot be fulfilled during allocation?	¿Debería el sistema generar una solicitud de reabasto cuando no se puede llenar una línea de envío durante la asignación?	¿Debe el sistema generar una solicitud de reabasto cuando no se puede llenar una línea de envío durante la asignación?
Heap Snapshots	Captura Heap	Instantánea de Captura
File Category	Categoría de Archivo	Categoría de Archivo
Over-Allocation In-Process Quantity	Cantidad de Sobre-Asignación en Proceso	Cantidad de Sobre-Asignación en Proceso
Order Quantity	Cantidad de Pedido	Cantidad de Orden
Attribute 2	Atributo 2	Atributo 2
Emergency Replenishment Work Groupings	Agrupaciones de Trabajo de Reabasto de Emergencia	Agrupaciones de Trabajo de Reabasto de Emergencia
Audit Completed	Auditoría Completada	Auditoría Completada
Safety Check	Chequeo de Seguridad	Chequeo de Seguridad
Add Unmeasured Assignment	Agregar Asignación Sin Medir	Agregar Asignación Sin Medir
Under Bond	Bajo Fianza Aduanera	Bajo Fianza Aduanera
Held Flag	Bandera de Retención	Bandera de Retención
What count type should be generated automatically if a discrepancy occurs?	¿Qué tipo de conteo debería generarse automáticamente si hay una discrepancia?	¿Qué tipo de conteo debería generarse automáticamente si hay una discrepancia?
<b>Never Attach</b> - Never automatically attach to existing inventory, always create new structures.	<b>Nunca Adjuntar</b> - Nunca adjuntar automáticamente al inventario existente, siempre crear nuevas estructuras.	<b>Nunca Adjuntar</b> - Nunca adjuntar automáticamente al inventario existente, siempre crear nuevas estructuras.
Pre-Inventory Allocation (PIA)	Asignación Previa de Inventario (API)	Preasignación de Inventario (API)
Policy Code	Código de Política	Código de Política
Domestic Long Distance Access Code	Código de Acceso de Larga Distancia Nacional	Código de Acceso de Larga Distancia Nacional
Configure the attributes and behavior related to packing.	Configurar los atributos y el comportamiento relacionados con el empaque.	Configurar los atributos y el comportamiento relacionados con el empaque.
Inventory Close	Cierre de Inventario	Cierre de Inventario
To Range	A Rango	A Rango
Assigning Inbound Shipments	Asignando Recibos Entrantes	Asignando Recibos Entrantes
Are you sure you want to delete the selected media ?	¿Está seguro de que desea eliminar los medios seleccionados?	¿Está seguro de que desea eliminar los medios seleccionados?
Audit Started	Auditoría Iniciada	Auditoría Iniciada
Inventory Rotation Method	Método de Rotación de Inventario	Método de Rotación de Inventario
Share Filter	Compartir Filtro	Compartir Filtro
Timer based	Basado en Temporizador	Basado en Temporizador
Cancel Action	Acción de Cancelación	Cancelar Acción
Selected Attributes	Atributos Seleccionados	Atributos Seleccionados
Should the system automatically dispatch the transport equipment after it is closed?	¿Debería el sistema automáticamente despachar el equipo de transporte después de cerrarlo?	¿Debe el sistema automáticamente despachar el equipo de transporte después de cerrarlo?
LPN Attribute 5	Atributo 5 de LPN	Atributo 5 de LPN
Number Of Aisles	Número De Pasillos	Número De Pasillos
Cancel Action	Cancelar Acción	Cancelar Acción
Re-order Quantity	Cantidad de Re-orden	Cantidad de Re-orden
Release Grouping	Agrupación de Liberación	Agrupación de Liberación
Available Warehouses	Almacenes Disponibles	Almacenes Disponibles
Configuration/Receiving/Receiving Dock Lane Assignment	Configuración/Recibo/Asignación del Carril del Andén de Recibo	Configuración/Asignación del Carril del Andén de Recibo
Bundled Flag	Bandera de Agrupado	Bandera de Agrupado
Handling Unit Category	Categoría de Unidad de Manejo	Categoría de Unidad de Manejo
Configuration/Carriers	Configuración/Transportistas	Configuración/Transportistas
(?:stndrdth)	(?:stndrdth)	(?:stndrdth)
Add/Modify Advanced Filter	Agregar/Modificar Filtro Avanzado	Agregar/Modificar Filtro Avanzado
{qty} Invalid Fields	{qty} Campos Inválidos	{qty} Campos Inválidos
Batch Code already exists	Código de Lote ya existe	Código de Lote ya existe
Destination Areas	Áreas de Destino	Áreas de Destino
What is the percentage of popup iterations to decrement during complex cartonization?	¿Cuál es el porcentaje de iteraciones emergentes que deben decrementarse durante la cartonización compleja?	¿Cuál es el porcentaje de iteraciones emergentes a disminuir durante cartonización compleja?
Collect On Delivery	Cobrar Contra Entrega (COD)	Cobrar Contra Entrega (COD)
Staging Areas	Áreas de Preparación	Áreas de Stage
Attribute 15	Atributo 15	Atributo 15
Initial Audit	Auditoría Inicial	Auditoría Inicial
Add Inventory Status	Agregar Estado de Inventario	Agregar Estado de Inventario
Pallet Stack Height	Altura de Pila de Pallet	Altura de Apilamiento de Pallet
ISO Alpha-3 Code	Código ISO Alfa-3	Código ISO Alfa-3
Warning: Return Order closed	Advertencia: Orden de Devolución cerrada	Advertencia: Orden de Devolución Cerrada
